analysis,metric,benchmark,spearman_r,spearman_p,partial_r,partial_p,n,n_models,n_langs,lang
pooled,cpt,MMLU-ProX,0.3514,0.001726,0.4349,8.6e-05,77,7,11,
pooled,nsl,MMLU-ProX,-0.3514,0.001726,-0.4349,8.6e-05,77,7,11,
pooled,strr,MMLU-ProX,0.3306,0.003323,0.4762,1.4e-05,77,7,11,
pooled,fertility,MMLU-ProX,-0.2652,0.019743,-0.3612,0.001346,77,7,11,
pooled,parity,MMLU-ProX,-0.2432,0.033071,-0.3486,0.00203,77,7,11,
pooled,compression_ratio,MMLU-ProX,0.1649,0.151746,0.1291,0.2662,77,7,11,
non_english,cpt,MMLU-ProX,0.2904,0.014748,0.34,0.004257,70,7,10,
non_english,nsl,MMLU-ProX,-0.2904,0.014748,-0.34,0.004257,70,7,10,
non_english,strr,MMLU-ProX,0.2723,0.022591,0.3991,0.000681,70,7,10,
non_english,fertility,MMLU-ProX,-0.1888,0.117471,-0.2498,0.038414,70,7,10,
non_english,parity,MMLU-ProX,-0.1765,0.143764,-0.256,0.033732,70,7,10,
non_english,compression_ratio,MMLU-ProX,0.1044,0.389869,0.0281,0.818852,70,7,10,
per_language,fertility,MMLU-ProX,0.5189,0.232754,,,7,,,en
per_language,cpt,MMLU-ProX,0.1482,0.75108,,,7,,,en
per_language,compression_ratio,MMLU-ProX,0.1482,0.75108,,,7,,,en
per_language,strr,MMLU-ProX,-0.6301,0.12936,,,7,,,en
per_language,nsl,MMLU-ProX,-0.1482,0.75108,,,7,,,en
per_language,fertility,MMLU-ProX,-0.1112,0.812407,,,7,,,zh
per_language,cpt,MMLU-ProX,0.1112,0.812407,,,7,,,zh
per_language,compression_ratio,MMLU-ProX,0.1112,0.812407,,,7,,,zh
per_language,strr,MMLU-ProX,0.0,1.0,,,7,,,zh
per_language,nsl,MMLU-ProX,-0.1112,0.812407,,,7,,,zh
per_language,parity,MMLU-ProX,-0.1112,0.812407,,,7,,,zh
per_language,fertility,MMLU-ProX,-0.2594,0.574237,,,7,,,ja
per_language,cpt,MMLU-ProX,0.2594,0.574237,,,7,,,ja
per_language,compression_ratio,MMLU-ProX,0.2594,0.574237,,,7,,,ja
per_language,strr,MMLU-ProX,0.2594,0.574237,,,7,,,ja
per_language,nsl,MMLU-ProX,-0.2594,0.574237,,,7,,,ja
per_language,parity,MMLU-ProX,-0.0371,0.937124,,,7,,,ja
per_language,fertility,MMLU-ProX,0.0371,0.937124,,,7,,,ko
per_language,cpt,MMLU-ProX,-0.0371,0.937124,,,7,,,ko
per_language,compression_ratio,MMLU-ProX,-0.0371,0.937124,,,7,,,ko
per_language,strr,MMLU-ProX,-0.1112,0.812407,,,7,,,ko
per_language,nsl,MMLU-ProX,0.0371,0.937124,,,7,,,ko
per_language,parity,MMLU-ProX,0.2594,0.574237,,,7,,,ko
per_language,fertility,MMLU-ProX,0.4077,0.363942,,,7,,,fr
per_language,cpt,MMLU-ProX,0.2224,0.631749,,,7,,,fr
per_language,compression_ratio,MMLU-ProX,0.2224,0.631749,,,7,,,fr
per_language,strr,MMLU-ProX,-0.4077,0.363942,,,7,,,fr
per_language,nsl,MMLU-ProX,-0.2224,0.631749,,,7,,,fr
per_language,parity,MMLU-ProX,0.4077,0.363942,,,7,,,fr
per_language,fertility,MMLU-ProX,0.3336,0.464697,,,7,,,de
per_language,cpt,MMLU-ProX,0.3336,0.464697,,,7,,,de
per_language,compression_ratio,MMLU-ProX,0.3336,0.464697,,,7,,,de
per_language,strr,MMLU-ProX,-0.4818,0.273587,,,7,,,de
per_language,nsl,MMLU-ProX,-0.3336,0.464697,,,7,,,de
per_language,parity,MMLU-ProX,0.3336,0.464697,,,7,,,de
per_language,fertility,MMLU-ProX,0.4447,0.317372,,,7,,,es
per_language,cpt,MMLU-ProX,0.2224,0.631749,,,7,,,es
per_language,compression_ratio,MMLU-ProX,0.2224,0.631749,,,7,,,es
per_language,strr,MMLU-ProX,-0.4447,0.317372,,,7,,,es
per_language,nsl,MMLU-ProX,-0.2224,0.631749,,,7,,,es
per_language,parity,MMLU-ProX,0.4447,0.317372,,,7,,,es
per_language,fertility,MMLU-ProX,0.4447,0.317372,,,7,,,pt
per_language,cpt,MMLU-ProX,0.2224,0.631749,,,7,,,pt
per_language,compression_ratio,MMLU-ProX,0.2224,0.631749,,,7,,,pt
per_language,strr,MMLU-ProX,-0.7042,0.07735,,,7,,,pt
per_language,nsl,MMLU-ProX,-0.2224,0.631749,,,7,,,pt
per_language,parity,MMLU-ProX,0.1853,0.690778,,,7,,,pt
per_language,fertility,MMLU-ProX,-0.2594,0.574237,,,7,,,ar
per_language,cpt,MMLU-ProX,-0.0371,0.937124,,,7,,,ar
per_language,compression_ratio,MMLU-ProX,-0.0371,0.937124,,,7,,,ar
per_language,strr,MMLU-ProX,0.3336,0.464697,,,7,,,ar
per_language,nsl,MMLU-ProX,0.0371,0.937124,,,7,,,ar
per_language,parity,MMLU-ProX,0.0371,0.937124,,,7,,,ar
per_language,fertility,MMLU-ProX,-0.1482,0.75108,,,7,,,th
per_language,cpt,MMLU-ProX,0.1482,0.75108,,,7,,,th
per_language,compression_ratio,MMLU-ProX,0.1482,0.75108,,,7,,,th
per_language,strr,MMLU-ProX,0.1482,0.75108,,,7,,,th
per_language,nsl,MMLU-ProX,-0.1482,0.75108,,,7,,,th
per_language,parity,MMLU-ProX,0.0741,0.874507,,,7,,,th
per_language,fertility,MMLU-ProX,-0.1482,0.75108,,,7,,,hi
per_language,cpt,MMLU-ProX,0.1482,0.75108,,,7,,,hi
per_language,compression_ratio,MMLU-ProX,0.1482,0.75108,,,7,,,hi
per_language,strr,MMLU-ProX,0.1482,0.75108,,,7,,,hi
per_language,nsl,MMLU-ProX,-0.1482,0.75108,,,7,,,hi
per_language,parity,MMLU-ProX,0.4077,0.363942,,,7,,,hi
