label,metric,beta,se,z,p,re_variance,n_obs,n_models,n_langs,aic,bic,log_params_beta,log_params_p,log_train_tokens_beta,log_train_tokens_p,log1p_qtok_alloc_beta,log1p_qtok_alloc_p
M1: original (params only),fertility,-1.3421,0.7281,-1.8432,0.065301,107.5722,77,7,11,nan,nan,17.3648,0.033463,,,,
M1: original (params only),cpt,5.0275,0.4587,10.9605,0.0,102.0865,77,7,11,nan,nan,17.4125,0.027088,,,,
M1: original (params only),compression_ratio,2.1207,0.8752,2.423,0.015391,101.9809,77,7,11,nan,nan,17.5569,0.027305,,,,
M1: original (params only),strr,5.6795,0.3075,18.4693,0.0,114.7972,77,7,11,nan,nan,17.4547,0.035941,,,,
M1: original (params only),nsl,-4.9611,0.523,-9.4852,0.0,99.8638,77,7,11,nan,nan,17.9062,0.021752,,,,
M1: original (params only),parity,-4.2863,0.5776,-7.4213,0.0,108.2051,77,7,11,nan,nan,17.9912,0.026991,,,,
M2: + log(training_tokens)  [includes imputed],fertility,-1.333,0.7281,-1.8307,0.06714,105.2011,77,7,11,nan,nan,19.5179,0.01917,12.0312,0.292332,,
M2: + log(training_tokens)  [includes imputed],cpt,5.0249,0.4587,10.9552,0.0,99.8971,77,7,11,nan,nan,19.4897,0.015349,11.6041,0.292479,,
M2: + log(training_tokens)  [includes imputed],compression_ratio,2.0941,0.8751,2.393,0.016712,100.9446,77,7,11,nan,nan,19.6083,0.016321,11.4793,0.305317,,
M2: + log(training_tokens)  [includes imputed],strr,5.6817,0.3075,18.4763,0.0,105.165,77,7,11,nan,nan,19.8878,0.015518,13.591,0.227706,,
M2: + log(training_tokens)  [includes imputed],nsl,-4.9514,0.5231,-9.4651,0.0,103.6744,77,7,11,nan,nan,19.7279,0.016122,10.1835,0.365053,,
M2: + log(training_tokens)  [includes imputed],parity,-4.2789,0.5776,-7.4076,0.0,109.8465,77,7,11,nan,nan,19.9866,0.018061,11.1536,0.335874,,
M3: + log(training_tokens)  [excluding imputed],fertility,-1.1422,0.7743,-1.4752,0.140159,68.5431,66,6,11,nan,nan,15.7596,0.02674,0.3424,0.976176,,
M3: + log(training_tokens)  [excluding imputed],cpt,4.7571,0.4965,9.5811,0.0,79.3903,66,6,11,nan,nan,16.2462,0.031071,1.5218,0.900263,,
M3: + log(training_tokens)  [excluding imputed],compression_ratio,1.282,0.8814,1.4544,0.14584,75.6735,66,6,11,nan,nan,16.1067,0.030922,1.0065,0.933294,,
M3: + log(training_tokens)  [excluding imputed],strr,5.5351,0.3452,16.0343,0.0,76.0292,66,6,11,nan,nan,16.3766,0.025695,2.6409,0.823367,,
M3: + log(training_tokens)  [excluding imputed],nsl,-4.566,0.5658,-8.0699,0.0,90.343,66,6,11,nan,nan,16.6812,0.038078,0.6209,0.961786,,
M3: + log(training_tokens)  [excluding imputed],parity,-4.0225,0.629,-6.3946,0.0,85.6481,66,6,11,nan,nan,16.5405,0.035203,0.4319,0.972777,,
M4: + log1p(qtok_alloc)  [vocab-derived tokenizer-data proxy],fertility,-1.888,0.5396,-3.4991,0.000467,100.6408,77,7,11,nan,nan,18.236,0.020099,,,3.9849,0.0
M4: + log1p(qtok_alloc)  [vocab-derived tokenizer-data proxy],cpt,4.056,0.43,9.4324,0.0,99.9445,77,7,11,nan,nan,17.8295,0.02195,,,2.1282,0.0
M4: + log1p(qtok_alloc)  [vocab-derived tokenizer-data proxy],compression_ratio,0.6145,0.7471,0.8225,0.410813,100.9828,77,7,11,nan,nan,18.1041,0.021439,,,3.5962,0.0
M4: + log1p(qtok_alloc)  [vocab-derived tokenizer-data proxy],strr,5.1574,0.3716,13.8784,0.0,112.6404,77,7,11,nan,nan,17.6105,0.032625,,,0.8271,0.018611
M4: + log1p(qtok_alloc)  [vocab-derived tokenizer-data proxy],nsl,-3.9617,0.457,-8.6681,0.0,98.2407,77,7,11,nan,nan,18.2917,0.01781,,,2.4595,0.0
M4: + log1p(qtok_alloc)  [vocab-derived tokenizer-data proxy],parity,-3.4368,0.467,-7.3597,0.0,104.2698,77,7,11,nan,nan,18.4541,0.020389,,,2.9006,0.0
