Tokenizer	control_tokens	pure_unicode	char_alpha	spaced_alpha	inner_alpha	char_other	spaced_other	inner_other	unicode_flanks	char_errors	spaced_errors	inner_errors
Qtok	5050	256	19345	271796	222863	4117	11847	43054	6893	914	949	4357
llama-2	16	256	1629	16054	12375	257	349	1039	0	13	5	18
mistral	8	256	2710	15425	11870	290	325	1001	0	67	11	39
mixtral	773	256	2710	15425	11870	290	325	1002	0	67	11	39
pythia	4	185	690	27288	17000	63	1463	2805	486	65	33	175
yi-34b	195	256	4204	23899	33550	107	344	1412	0	13	3	9
falcon	7	170	1194	39831	20581	58	53	2039	946	19	20	106
jamba	1549	256	2051	38996	20709	297	401	1176	0	42	13	46
deepseek	26	184	3660	46954	45059	113	711	2390	558	36	8	319
dbrx	33	184	1040	42603	28628	96	1190	22202	782	35	640	2847
llama-3	265	211	3597	55444	39084	210	1314	23131	1361	66	659	2914
qwen	15	256	14597	50981	54914	2915	1198	21791	1457	35	640	2847
command-r	48	198	5899	145978	92155	182	1121	4546	4489	33	92	288
gemma	151	255	15712	123481	102881	3866	1698	6728	0	888	81	289
gpt2	2	150	198	32100	14841	52	987	1540	352	33	0	2
llama31_8b	265	211	3597	55444	39084	210	1314	23131	1361	66	659	2914
qwen25	34	256	14597	50981	54914	2915	1198	21791	1457	35	640	2847
gemma2_9b	151	255	15712	123481	102881	3866	1698	6728	0	888	81	289
mistral_7b_v03	774	256	2710	15425	11870	290	325	1001	0	67	11	39
mistral_nemo	1004	190	3351	73055	39770	134	749	9978	1437	35	239	1130
phi3_mini	16	256	1629	16054	12375	257	349	1039	0	13	5	18
phi4	105	184	1040	42603	28628	96	1190	22202	782	35	640	2847
yi15_9b	195	256	4204	23899	33550	107	344	1412	0	13	3	9
falcon_7b	7	170	1194	39831	20581	58	53	2039	946	19	20	106
bloom_7b1	122	215	6683	129526	88284	220	9370	13962	1455	69	129	645
stablelm2_12b	42	184	1040	42603	28628	96	1190	22202	782	35	640	2847
olmo2_7b	28	184	1040	42603	28628	96	1190	22205	782	35	640	2847
smollm2_17b	18	159	229	31659	15532	37	276	768	314	27	12	121
qwen3_8b	38	256	14597	50981	54914	2915	1198	21791	1457	35	640	2847
deepseek_v3	822	218	6678	49970	60020	310	673	7610	1487	33	223	774
