Tokenizer	uk	ru	sr	kk	be	mk	mn	bg	Other
Qtok	7.88	19.09	4.05	2.4	3.82	1.4	1.83	7.99	0.19
llama-2	6.06	11.48	3.64	1.62	2.74	1.29	1.42	6.23	0.18
mistral	5.53	10.1	3.38	1.46	2.37	1.31	1.39	6.11	0.17
mixtral	5.53	10.1	3.38	1.46	2.37	1.31	1.39	6.11	0.17
pythia	4.54	7.14	3.58	1.02	2.02	1.52	1.0	5.63	0.16
yi-34b	4.24	9.41	3.94	1.17	1.59	1.73	1.28	8.32	0.19
falcon	4.19	5.38	3.73	1.35	1.65	1.59	0.0	4.92	0.2
jamba	4.28	6.18	3.67	1.16	2.1	1.47	0.94	5.12	0.04
deepseek	4.82	13.75	4.39	1.78	2.04	2.1	1.65	12.61	0.15
dbrx	5.16	9.84	3.84	1.63	2.57	1.33	1.03	6.08	0.12
llama-3	8.0	13.42	3.66	1.81	3.35	1.05	1.44	6.3	0.17
qwen	5.76	15.69	3.78	1.89	2.97	1.27	1.55	7.4	0.16
command-r	8.67	20.08	3.91	2.52	4.19	1.16	1.86	6.75	0.18
gemma	6.32	16.43	4.0	2.16	3.22	1.39	1.66	7.13	0.21
gpt2	0	0	0	0	0	0	0	0	0.0
llama31_8b	8.0	13.42	3.66	1.81	3.35	1.05	1.44	6.3	0.17
qwen25	5.76	15.69	3.78	1.89	2.97	1.27	1.55	7.4	0.16
gemma2_9b	6.32	16.43	4.0	2.16	3.22	1.39	1.66	7.13	0.21
mistral_7b_v03	5.53	10.1	3.38	1.46	2.37	1.31	1.39	6.11	0.17
mistral_nemo	5.88	13.71	3.92	1.82	3.04	1.39	1.56	7.09	0.21
phi3_mini	6.06	11.48	3.64	1.62	2.74	1.29	1.42	6.23	0.18
phi4	5.16	9.84	3.84	1.63	2.57	1.33	1.03	6.08	0.12
yi15_9b	4.24	9.41	3.94	1.17	1.59	1.73	1.28	8.32	0.19
falcon_7b	4.19	5.38	3.73	1.35	1.65	1.59	0.0	4.92	0.2
bloom_7b1	4.94	7.98	3.5	1.25	2.25	1.31	1.02	5.68	0.2
stablelm2_12b	5.16	9.84	3.84	1.63	2.57	1.33	1.03	6.08	0.12
olmo2_7b	5.16	9.84	3.84	1.63	2.57	1.33	1.03	6.08	0.12
smollm2_17b	3.76	5.44	3.76	1.01	1.7	1.83	0.52	5.05	0.13
qwen3_8b	5.76	15.69	3.78	1.89	2.97	1.27	1.55	7.4	0.16
deepseek_v3	5.65	15.22	3.99	1.72	2.69	1.39	1.53	7.16	0.18
