Tokenizer	pt	sv	et	fi	ro	fr	hu	sk	it	es	id	vi	de	en	nl	tr	cs	pl	Other
Qtok	0.83	0.5	0.56	0.58	0.58	2.39	0.77	0.51	1.18	6.64	0.3	0.39	9.78	25.26	0.77	0.72	0.85	1.37	2.34
llama-2	0.33	0.31	0.33	0.32	0.17	1.94	0.46	0.27	0.58	6.65	0.05	0.08	10.0	20.92	0.42	0.12	0.31	0.49	1.12
mistral	0.24	0.2	0.31	0.29	0.15	1.63	0.23	0.14	0.55	6.66	0.05	0.05	9.88	23.72	0.35	0.08	0.18	0.29	0.9
mixtral	0.24	0.2	0.31	0.29	0.15	1.63	0.23	0.14	0.55	6.66	0.05	0.05	9.88	23.72	0.35	0.08	0.18	0.29	0.9
pythia	0.23	0.26	0.37	0.35	0.21	1.55	0.15	0.09	0.69	6.63	0.07	0.03	9.85	28.76	0.38	0.06	0.13	0.28	0.97
yi-34b	0.16	0.21	0.33	0.29	0.18	1.47	0.08	0.05	0.62	6.5	0.07	0.01	10.1	29.98	0.33	0.05	0.09	0.25	0.86
falcon	0.32	0.35	0.41	0.44	0.25	1.93	0.26	0.19	0.87	6.47	0.08	0.06	10.12	27.75	0.53	0.07	0.26	0.52	1.21
jamba	0.66	0.26	0.39	0.38	0.22	2.14	0.34	0.16	0.81	6.95	0.08	0.07	9.86	27.92	0.54	0.09	0.25	0.32	1.12
deepseek	0.29	0.24	0.41	0.36	0.23	1.5	0.1	0.08	0.88	7.3	0.1	0.01	10.04	30.97	0.38	0.07	0.11	0.33	1.06
dbrx	0.32	0.27	0.38	0.37	0.2	1.56	0.2	0.11	0.7	6.49	0.09	0.06	9.83	30.24	0.42	0.11	0.16	0.37	1.12
llama-3	0.34	0.26	0.4	0.36	0.28	1.47	0.35	0.39	0.66	6.01	0.1	0.41	9.14	27.42	0.4	0.72	0.67	0.43	1.76
qwen	0.39	0.28	0.43	0.38	0.25	1.61	0.34	0.19	0.69	6.12	0.09	0.43	9.27	28.15	0.4	0.58	0.21	0.68	1.67
command-r	0.98	0.4	0.53	0.54	0.72	2.72	0.81	0.59	1.21	6.67	0.33	0.48	9.39	23.66	0.85	0.84	1.05	1.62	2.33
gemma	0.6	0.51	0.52	0.57	0.31	2.12	0.61	0.34	1.04	6.77	0.27	0.31	10.16	25.83	0.64	0.32	0.44	0.8	2.08
gpt2	0.19	0.25	0.39	0.37	0.19	1.5	0.1	0.07	0.69	6.54	0.08	0.01	10.22	30.4	0.39	0.05	0.11	0.34	1.0
llama31_8b	0.34	0.26	0.4	0.36	0.28	1.47	0.35	0.39	0.66	6.01	0.1	0.41	9.14	27.42	0.4	0.72	0.67	0.43	1.76
qwen25	0.39	0.28	0.43	0.38	0.25	1.61	0.34	0.19	0.69	6.12	0.09	0.43	9.27	28.15	0.4	0.58	0.21	0.68	1.67
gemma2_9b	0.6	0.51	0.52	0.57	0.31	2.12	0.61	0.34	1.04	6.77	0.27	0.31	10.16	25.83	0.64	0.32	0.44	0.8	2.08
mistral_7b_v03	0.24	0.2	0.31	0.29	0.15	1.63	0.23	0.14	0.55	6.66	0.05	0.05	9.88	23.72	0.35	0.08	0.18	0.29	0.9
mistral_nemo	0.62	0.45	0.5	0.54	0.31	2.73	0.76	0.41	0.93	6.61	0.15	0.37	9.92	22.62	0.58	0.34	0.54	0.78	2.04
phi3_mini	0.33	0.31	0.33	0.32	0.17	1.94	0.46	0.27	0.58	6.65	0.05	0.08	10.0	20.92	0.42	0.12	0.31	0.49	1.12
phi4	0.32	0.27	0.38	0.37	0.2	1.56	0.2	0.11	0.7	6.49	0.09	0.06	9.83	30.24	0.42	0.11	0.16	0.37	1.12
yi15_9b	0.16	0.21	0.33	0.29	0.18	1.47	0.08	0.05	0.62	6.5	0.07	0.01	10.1	29.98	0.33	0.05	0.09	0.25	0.86
falcon_7b	0.32	0.35	0.41	0.44	0.25	1.93	0.26	0.19	0.87	6.47	0.08	0.06	10.12	27.75	0.53	0.07	0.26	0.52	1.21
bloom_7b1	1.31	0.25	0.38	0.42	0.3	3.4	0.77	0.32	0.82	8.22	0.55	0.73	8.63	21.46	0.35	0.16	0.46	0.38	2.19
stablelm2_12b	0.32	0.27	0.38	0.37	0.2	1.56	0.2	0.11	0.7	6.49	0.09	0.06	9.83	30.24	0.42	0.11	0.16	0.37	1.12
olmo2_7b	0.32	0.27	0.38	0.37	0.2	1.56	0.2	0.11	0.7	6.49	0.09	0.06	9.83	30.24	0.42	0.11	0.16	0.37	1.12
smollm2_17b	0.22	0.29	0.42	0.36	0.25	1.55	0.11	0.07	0.76	6.5	0.08	0.01	9.96	32.41	0.4	0.05	0.11	0.34	0.98
qwen3_8b	0.39	0.28	0.43	0.38	0.25	1.61	0.34	0.19	0.69	6.12	0.09	0.43	9.27	28.15	0.4	0.58	0.21	0.68	1.67
deepseek_v3	0.4	0.35	0.46	0.43	0.25	1.79	0.35	0.26	0.81	6.55	0.17	0.1	9.7	26.7	0.51	0.1	0.34	0.63	1.39
