Tokenizer	HEBREW (spaced)	DEVANAGARI (spaced)	HANGUL (spaced)	GUJARATI (spaced)	CYRILLIC (inner)	CYRILLIC (spaced)	LATIN (spaced)	ORIYA (spaced)	GURMUKHI (spaced)	CJK (spaced)	LATIN (inner)	CJK (inner)	GREEK (inner)	TAMIL (inner)	HANGUL (char)	KANNADA (inner)	BENGALI (inner)	TAMIL (spaced)	GREEK (spaced)	KANNADA (spaced)	TELUGU (inner)	MALAYALAM (inner)	BENGALI (spaced)	CJK (char)	THAI (inner)	ARABIC (inner)	TELUGU (spaced)	MALAYALAM (spaced)	ARABIC (spaced)	HEBREW (inner)	DEVANAGARI (inner)	Other
Qtok	0.46	2.1	0.94	0.72	2.69	4.4	33.92	0.55	0.7	0.64	22.38	8.32	0.63	0.49	0.55	0.55	0.73	0.71	0.89	0.69	0.59	0.57	1.35	2.27	0.63	1.63	0.7	0.54	3.2	0.46	1.13	3.87
llama-2	0.0	0.0	0.0	0.0	4.66	4.82	48.58	0.0	0.0	0.0	36.5	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.72
mistral	0.0	0.0	0.0	0.0	2.98	2.44	48.97	0.0	0.0	0.0	36.56	0.01	0.0	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.85	0.0	0.0	0.0	0.0	0.01	0.0	0.0	3.04
mixtral	0.0	0.0	0.0	0.0	2.98	2.44	48.97	0.0	0.0	0.0	36.56	0.01	0.0	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.85	0.0	0.0	0.0	0.0	0.01	0.0	0.0	3.04
pythia	0.02	0.01	0.0	0.0	0.49	0.24	60.18	0.0	0.0	0.0	36.92	0.02	0.18	0.0	0.05	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.67	0.0	0.05	0.0	0.0	0.06	0.0	0.0	0.93
yi-34b	0.0	0.0	0.0	0.0	1.01	0.76	37.88	0.0	0.0	0.11	25.4	28.01	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25
falcon	0.0	0.0	0.0	0.0	0.03	0.02	64.62	0.0	0.0	0.0	32.78	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	1.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18
jamba	0.55	0.0	0.01	0.0	0.13	0.07	61.93	0.0	0.0	0.0	32.0	0.08	0.0	0.0	0.49	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	1.79	0.0	0.71	0.0	0.0	0.57	0.6	0.0	1.05
deepseek	0.0	0.0	0.0	0.0	2.88	4.55	44.49	0.0	0.0	0.0	28.94	15.24	0.03	0.0	0.02	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	3.58	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.23
dbrx	0.01	0.01	0.18	0.0	0.56	0.37	58.19	0.0	0.0	0.11	38.61	0.28	0.0	0.0	0.18	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.76	0.02	0.04	0.0	0.0	0.05	0.0	0.0	0.61
